query,postive_doc,negative_doc
民法典总则编中关于立法目的和基本原则的规定,"第一编 总 则,无,第一章 基 本 规 定,无,第一条【立法目的】为了保护民事主体的合法权益调整民事关系维护社会和经济秩序适应中国特色社会主义发展要求弘扬社会主义核心价值观根据宪法制定本法。","第五编 婚 姻 家 庭,无,第三章 家 庭 关 系,第二节 父母子女关系和其他,第一千零七十五条【兄弟姐妹间的扶养义务】有负担能力的兄、姐对于父母已经死亡或者父母无力抚养的未成年弟、妹有扶养的义务。由兄、姐扶养长大的有负担能力的弟、妹对于缺乏劳动能力又缺乏生活来源的兄、姐有扶养的义务。"
民法典总则编第一条关于立法目的的具体内容是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第一条【立法目的】为了保护民事主体的合法权益调整民事关系维护社会和经济秩序适应中国特色社会主义发展要求弘扬社会主义核心价值观根据宪法制定本法。","第三编 合同,第一分编 通 则,第四章 合同的履行,无,第五百二十二条【向第三人履行的合同】当事人约定由债务人向第三人履行债务债务人未向第三人履行债务或者履行债务不符合约定的应当向债权人承担违约责任。法律规定或者当事人约定第三人可以直接请求债务人向其履行债务第三人未在合理期限内明确拒绝债务人未向第三人履行债务或者履行债务不符合约定的第三人可以请求债务人承担违约责任债务人对债权人的抗辩可以向第三人主张。"
民法典第一编总则中关于立法目的的规定是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第一条【立法目的】为了保护民事主体的合法权益调整民事关系维护社会和经济秩序适应中国特色社会主义发展要求弘扬社会主义核心价值观根据宪法制定本法。","第七编 侵权责任,无,第五章 机动车交通事故责任,无,第一千二百一十七条【好意同乘的责任承担】非营运机动车发生交通事故造成无偿搭乘人损害属于该机动车一方责任的应当减轻其赔偿责任但是机动车使用人有故意或者重大过失的除外。"
民法总则中规定民法调整哪些主体之间的人身关系和财产关系？,"第一编 总 则,无,第一章 基 本 规 定,无,第二条【调整范围】民法调整平等主体的自然人、法人和非法人组织之间的人身关系和财产关系。","第四编 人 格 权,无,第六章 隐私权和个人信息保护,无,第一千零三十五条【个人信息处理的原则和条件】处理个人信息的应当遵循合法、正当、必要原则不得过度处理并符合下列条件有规定的除外个人信息的处理包括个人信息的收集、存储、使用、加工、传输、提供、公开等。"
民法调整平等主体的自然人、法人和非法人组织之间哪些类型的关系？,"第一编 总 则,无,第一章 基 本 规 定,无,第二条【调整范围】民法调整平等主体的自然人、法人和非法人组织之间的人身关系和财产关系。","第三编 合同,第二分编 典型合同,第二十章 技术合同,第一节 一般规定,第八百四十三条【技术合同定义】技术合同是当事人就技术开发、转让、许可、咨询或者服务订立的确立相互之间权利和义务的合同。"
民法调整平等主体的自然人、法人和非法人组织之间的人身关系和财产关系的范围,"第一编 总 则,无,第一章 基 本 规 定,无,第二条【调整范围】民法调整平等主体的自然人、法人和非法人组织之间的人身关系和财产关系。","第三编 合 同,第二分编 典 型 合 同,第十七章 承 揽 合 同,无,第七百七十条【承揽合同定义和承揽主要类型】承揽合同是承揽人按照定作人的要求完成工作交付工作成果定作人支付报酬的合同。承揽包括加工、定作、修理、复制、测试、检验等工作。"
民事主体的人身权利和财产权利受法律保护的具体条款是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第三条【民事权益受法律保护】民事主体的人身权利、财产权利以及其他合法权益受法律保护任何组织或者个人不得侵犯。","第三编 合同,第一分编 通则,第二章 合同的订立,无,第四百七十五条【要约撤回】要约可以撤回。要约的撤回适用本法第一百四十一条的规定。"
民事主体的人身权利和财产权利如何受到法律保护？,"第一编 总 则,无,第一章 基 本 规 定,无,第三条【民事权益受法律保护】民事主体的人身权利、财产权利以及其他合法权益受法律保护任何组织或者个人不得侵犯。","第三编 合 同,第二分编 典 型 合 同,第二十六章 中 介 合 同,无,第九百六十六条【参照适用委托合同】本章没有规定的参照适用委托合同的有关规定。"
民事主体的人身权利和财产权利如何受到法律保护？,"第一编 总 则,无,第一章 基 本 规 定,无,第三条【民事权益受法律保护】民事主体的人身权利、财产权利以及其他合法权益受法律保护任何组织或者个人不得侵犯。","第三编 合 同,第二分编 典 型 合 同,第二十章 技 术 合 同,第三节 技术转让合同和技术许可合同,第八百七十五条【后续技术成果的归属与分享】当事人可以按照互利的原则在合同中约定实施专利、使用技术秘密后续改进的技术成果的分享办法没有约定或者约定不明确依据本法第五百一十条的规定仍不能确定的一方后续改进的技术成果其他各方无权分享。"
民事主体在民事活动中的法律地位平等原则是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第四条【平等原则】民事主体在民事活动中的法律地位一律平等。","第三编 合 同,第二分编 典 型 合 同,第十八章 建设工程合同,无,第七百九十二条【订立国家重大建设工程合同】国家重大建设工程合同应当按照国家规定的程序和国家批准的投资计划、可行性研究报告等文件订立。"
民法典总则编中民事主体平等原则的法律规定,"第一编 总 则,无,第一章 基 本 规 定,无,第四条【平等原则】民事主体在民事活动中的法律地位一律平等。","第五编 婚 姻 家 庭,无,第二章 结 婚,无,第一千零五十三条【隐瞒疾病的可撤销婚姻】一方患有重大疾病的应当在结婚登记前如实告知另一方不如实告知的另一方可以向人民法院请求撤销婚姻。请求撤销婚姻的应当自知道或者应当知道撤销事由之日起一年内提出。"
